hike_region,total_distance,elevation_gain,hike_difficulty,stars,hike_id,loop,out_and_back,point_to_point,dog_friendly,kid_friendly,camping,waterfall,river,lake,wildflowers,wildlife,views
Cottonwood Glen Park,4.2,310,1,3.5,hike541,1,0,0,0,1,0,0,0,1,1,1,1
San Isabel National Forest,0.1,100,2,4.3,hike542,0,1,0,0,1,0,0,0,0,0,1,1
White River National Forest,3.8,231,2,4.0,hike543,0,1,0,0,0,0,0,0,1,0,0,0
Dominguez Canyon Wilderness,9.8,1195,1,4.2,hike544,0,1,0,1,0,1,1,1,0,0,1,1
Hidden Mesa Open Space,7.3,584,2,3.7,hike545,1,0,0,1,0,0,0,1,0,1,0,1
White River National Forest,18.6,1242,2,4.3,hike546,1,0,0,1,0,0,0,0,1,0,1,1
San Isabel National Forest,12.6,6774,3,4.8,hike547,1,0,0,1,0,1,0,1,1,1,1,1
Gunnison National Forest,9.0,1854,2,4.8,hike548,0,1,0,0,0,0,0,0,0,0,0,0
Rocky Mountain National Park,15.0,3300,3,4.8,hike549,0,1,0,0,0,0,0,1,1,1,1,1
Arapaho National Forest,2.7,738,1,3.7,hike550,0,1,0,0,1,0,0,0,1,1,1,0
Golden Gate Canyon State Park,3.0,1019,3,3.4,hike551,1,0,0,1,0,0,0,0,1,0,1,1
Florissant Fossil Beds National Monument,1.6,125,1,3.4,hike552,1,0,0,0,1,0,0,0,0,0,0,1
Cache La Poudre Wilderness,10.6,2863,2,3.8,hike553,0,1,0,1,0,0,0,0,0,1,1,1
"Castle Rock, Colorado",1.9,262,2,3.8,hike554,1,0,0,1,0,0,0,1,0,0,0,1
Black Canyon of the Gunnison National Park,1.6,514,1,4.4,hike555,0,1,0,0,1,0,0,1,0,0,1,1
Mount Evans Wilderness,11.4,2269,3,4.0,hike556,1,0,0,1,0,0,0,0,0,1,1,1
San Isabel National Forest,10.5,2687,2,4.5,hike557,0,1,0,1,0,0,0,1,1,1,1,1
Boulder Mountain Park,11.2,1784,3,3.6,hike558,0,1,0,1,0,0,0,1,0,1,1,0
Mount Evans Wilderness,11.8,2993,2,4.3,hike559,0,0,1,0,0,0,0,0,1,1,0,1
Curecanti National Recreation Area,3.4,962,3,4.8,hike560,0,1,0,1,0,0,0,1,0,0,0,1
Roosevelt National Forest,6.5,1500,3,3.8,hike561,0,1,0,1,0,0,0,1,0,0,0,1
Fort Carson Military Reservation,3.3,494,1,3.5,hike562,1,0,0,0,1,0,0,0,0,1,1,1
"Jefferson, Colorado",6.0,1400,2,4.5,hike563,0,1,0,0,0,0,0,0,0,1,1,1
Rocky Mountain National Park,12.6,3092,3,5.0,hike564,0,1,0,0,0,1,1,0,1,1,1,1
Mueller State Park,3.7,781,2,4.1,hike565,1,0,0,0,1,0,0,0,0,1,1,1
"Pagosa Springs, Colorado",0.6,228,1,4.0,hike566,1,0,0,0,1,0,1,0,0,0,0,0
San Isabel National Forest,1.1,507,2,4.0,hike567,0,1,0,1,0,0,0,0,0,0,0,0
Pike National Forest,7.0,1192,2,3.9,hike568,0,1,0,1,0,0,0,0,0,1,1,1
Eagles Nest Wilderness,19.9,3859,3,4.6,hike569,0,1,0,0,0,1,0,0,1,1,0,1
Routt National Forest,3.6,1420,3,4.4,hike570,0,1,0,1,0,1,0,0,0,1,0,1
Pine Valley Ranch Park,11.7,1838,2,4.0,hike571,1,0,0,0,0,0,0,0,0,1,0,1
Colorado National Monument,13.4,2162,2,4.2,hike572,0,1,0,0,0,0,0,0,0,1,0,1
"Superior, Colorado",10.6,860,2,3.7,hike573,0,1,0,0,0,0,0,0,0,1,1,1
Star K Ranch Park,12.5,251,1,3.4,hike574,0,0,1,1,1,0,0,0,0,1,1,1
Arapaho National Forest,3.1,868,2,4.0,hike575,1,0,0,0,0,0,0,0,1,0,0,1
White River National Forest,10.4,1903,2,5.0,hike576,0,1,0,0,0,0,0,0,1,1,1,1
Roosevelt National Forest,4.5,1227,2,4.4,hike577,0,0,1,0,0,0,0,0,0,0,0,0
Great Sand Dunes National Park,9.0,3230,2,3.9,hike578,0,1,0,1,0,1,1,1,1,1,1,1
Uncompahgre National Forest,20.5,1389,2,4.7,hike579,0,0,1,1,1,0,0,1,0,1,1,1
Palmer Park,2.5,399,1,3.8,hike580,1,0,0,1,1,0,0,0,0,1,1,1
Viestenz Smith Mountain Park,9.0,2750,2,4.3,hike581,0,1,0,0,0,0,0,0,0,0,0,0
White River National Forest,8.4,1892,3,4.2,hike582,0,1,0,1,0,1,1,0,1,1,0,1
"Estes Park, Colorado",2.6,972,1,4.1,hike583,1,0,0,0,0,0,0,0,0,1,1,1
San Juan National Forest,9.9,2343,2,4.1,hike584,0,1,0,0,0,0,0,0,1,0,0,0
Dawson Park,3.5,54,1,3.8,hike585,1,0,0,1,1,0,0,0,1,1,1,1
"Longmont, Colorado",2.9,443,1,4.0,hike586,0,1,0,1,1,0,0,0,0,1,0,1
Rocky Mountain National Park,9.6,2841,2,4.5,hike587,0,1,0,0,0,0,0,1,1,1,1,1
Collegiate Peaks Wilderness,5.9,1739,3,4.7,hike588,0,1,0,0,0,0,0,0,1,1,0,1
Aurora Reservoir Recreation A,7.9,267,1,4.2,hike589,1,0,0,0,1,0,0,0,1,0,0,0
Cheesman Park,1.5,79,1,4.7,hike590,1,0,0,0,1,0,0,0,0,0,0,0
San Isabel National Forest,4.7,1282,3,4.4,hike591,0,1,0,1,0,0,1,0,1,1,1,1
San Juan National Forest,18.4,2713,2,4.7,hike592,0,0,1,1,0,0,0,0,0,0,0,0
Rocky Mountain National Park,19.0,5207,2,4.7,hike593,1,0,0,0,0,0,0,1,1,1,1,1
San Isabel National Forest,3.9,4517,3,4.9,hike594,0,0,1,1,0,0,0,0,0,0,0,0
Pine Valley Ranch Park,1.7,55,1,4.1,hike595,1,0,0,1,1,0,0,0,1,1,1,1
Pike National Forest,0.9,432,2,4.3,hike596,0,1,0,0,0,0,0,0,0,1,1,1
Lousiville Sports Complex,8.6,354,1,3.3,hike597,0,1,0,1,1,0,0,0,0,1,0,1
White River National Forest,7.3,1385,2,4.5,hike598,0,1,0,1,0,0,0,0,0,1,1,0
Philip S. Miller Park,0.6,177,2,4.7,hike599,1,0,0,1,1,0,0,0,0,1,1,1
Pike National Forest,11.6,2132,2,4.6,hike600,1,0,0,0,0,0,0,1,0,1,0,0
Mc Phelemy Park,14.6,4961,2,4.4,hike601,0,1,0,1,0,0,0,1,1,0,1,1
Foothills Community Park,2.9,213,1,3.6,hike602,1,0,0,1,1,0,0,0,1,0,0,0
Arapaho National Forest,18.0,3000,3,5.0,hike603,0,1,0,0,0,1,0,0,0,0,0,0
Mt Massive Wilderness Area,7.2,2295,2,4.8,hike604,0,1,0,1,0,0,0,0,1,0,0,1
Bear Creek Regional Park,2.6,224,2,3.6,hike605,1,0,0,1,1,0,0,1,0,1,1,1
"Castle Rock, Colorado",1.6,81,1,3.7,hike606,1,0,0,1,1,0,0,0,0,1,1,1
Pike National Forest,13.2,3761,3,3.9,hike607,0,1,0,0,0,0,0,0,0,1,1,1
Limbach Park,8.2,682,1,3.4,hike608,1,0,0,1,0,0,0,1,1,1,1,1
"Snowmass Village, Colorado",7.8,1776,1,4.0,hike609,0,1,0,0,1,0,0,0,0,1,1,1
Pike National Forest,23.1,5494,3,4.5,hike610,0,1,0,0,0,1,0,0,0,1,1,1
Pike National Forest,5.8,1352,2,4.4,hike611,0,1,0,0,0,0,0,0,0,1,1,1
Genesee Park,1.0,243,1,3.3,hike612,1,0,0,0,1,0,0,0,0,1,1,1
Daniels Park,10.9,1880,2,3.5,hike613,1,0,0,0,1,0,0,0,0,1,1,1
Great Sand Dunes National Preserve,10.7,4330,3,4.8,hike614,0,1,0,1,0,1,0,0,0,1,1,1
Collegiate Peaks Wilderness,8.9,4399,3,5.0,hike615,0,1,0,0,0,0,0,0,0,0,0,1
Rocky Mountain National Park,1.1,164,1,4.1,hike616,0,1,0,0,1,0,0,0,0,1,1,1
Pueblo Mountain Park,4.9,1452,1,4.8,hike617,0,1,0,0,1,0,0,0,0,0,0,0
"Silver Plume, Colorado",3.7,1340,2,4.2,hike618,0,1,0,0,0,0,0,0,0,0,0,1
Bluffs Regional Park,1.7,176,1,3.6,hike619,1,0,0,1,1,0,0,0,0,0,0,0
"Granite, Colorado",8.7,762,1,4.5,hike620,0,1,0,0,0,0,0,0,0,0,0,0
Greenhorn Mountain Wilderness,11.8,5054,2,4.5,hike621,0,1,0,0,0,0,0,0,0,0,0,0
Mount Massive Wilderness,19.4,6325,3,5.0,hike622,0,1,0,1,0,1,0,0,0,1,1,1
Canyons of The Ancients National Mon,7.4,935,2,4.4,hike623,0,1,0,1,1,0,0,0,0,0,1,1
Roosevelt National Forest,4.3,1509,2,3.8,hike624,1,0,0,1,0,0,0,1,0,1,1,1
Rocky Mountain National Park,30.7,6214,1,4.0,hike625,0,1,0,1,0,0,1,0,0,1,1,1
Rocky Mountain National Park,1.1,133,1,3.8,hike626,1,0,0,0,1,0,0,0,0,1,0,1
Roosevelt National Forest,5.7,1365,2,3.3,hike627,0,1,0,1,0,0,0,0,0,0,0,1
Beaver Creek State Wildlife Area,7.5,2024,3,3.3,hike628,1,0,0,0,0,0,0,0,0,1,1,1
San Isabel National Forest,9.0,7890,2,4.6,hike629,1,0,0,1,0,1,1,1,1,1,1,1
Chatfield State Park,17.6,2537,2,4.0,hike630,1,0,0,0,0,0,0,0,1,0,0,0
"Englewood, Colorado",2.0,124,2,4.2,hike631,1,0,0,0,1,0,0,0,0,0,0,0
"Brighton, Colorado",9.0,140,1,3.2,hike632,1,0,0,0,1,0,0,0,0,1,0,1
"Lake City, Colorado",4.0,1650,3,5.0,hike633,0,1,0,0,0,0,1,0,0,1,1,1
Holy Cross Wilderness,4.3,1304,2,3.8,hike634,0,1,0,1,0,0,0,0,0,1,1,1
White River National Forest,6.0,552,1,4.0,hike635,0,1,0,1,0,0,0,1,0,0,0,1
Arapaho National Forest,12.7,1482,1,4.2,hike636,0,1,0,0,1,0,0,0,0,1,0,1
Routt National Forest,5.4,1049,1,4.7,hike637,0,1,0,0,1,0,0,0,0,1,1,1
"Boulder, Colorado",2.5,593,1,3.7,hike638,0,1,0,1,1,0,0,0,0,1,0,1
Pike National Forest,6.3,1570,2,3.7,hike639,1,0,0,0,0,0,0,0,0,1,1,1
Uncompahgre National Forest,8.4,1287,2,4.4,hike640,0,0,1,1,0,0,0,1,0,1,1,1
Molas Park,20.2,4030,3,4.8,hike641,0,0,1,1,0,0,0,0,0,1,1,1
Standley Lake Park,4.4,343,1,3.5,hike642,1,0,0,1,1,0,0,0,0,0,0,1
Bear Valley Park,1.6,23,1,3.3,hike643,0,0,1,0,1,0,0,0,0,0,0,0
Boulder Reservoir Park,1.3,48,1,3.3,hike644,1,0,0,1,1,0,0,0,1,1,0,1
Rocky Mountain National Park,7.3,1141,2,3.9,hike645,0,1,0,0,0,0,0,1,1,1,1,0
Uncompahgre National Forest,7.1,2879,3,4.6,hike646,0,1,0,1,0,1,1,1,1,1,1,1
Arapaho National Forest,9.4,2885,2,3.8,hike647,0,1,0,0,0,0,0,0,0,0,0,0
Rocky Mountain National Park,1.0,50,1,3.9,hike648,0,1,0,0,1,0,0,1,0,1,1,1
Uncompahgre National Forest,13.9,5298,3,5.0,hike649,0,1,0,1,0,0,1,1,0,1,1,1
Pine Valley Ranch Park,38.9,5990,2,5.0,hike650,1,0,0,0,0,0,0,0,0,1,0,1
San Isabel National Forest,5.8,2342,2,5.0,hike651,0,0,1,0,0,0,0,0,0,1,0,1
Rocky Mountain National Park,20.4,3893,2,3.8,hike652,0,1,0,0,0,1,1,1,1,1,1,1
San Isabel National Forest,4.8,286,1,3.7,hike653,0,0,1,1,1,0,0,0,0,0,0,1
Lory State Park,1.8,417,1,4.2,hike654,1,0,0,1,1,0,0,1,0,1,1,1
Great Sand Dunes National Park,7.0,1561,2,4.4,hike655,0,1,0,1,0,0,0,0,0,1,1,1
Pike National Forest,10.7,2554,2,3.3,hike656,1,0,0,0,0,0,0,0,0,1,0,1
"Grand Lake, Colorado",4.4,332,2,3.9,hike657,1,0,0,1,0,0,0,1,1,1,1,1
Roosevelt National Forest,1.4,250,1,3.8,hike658,1,0,0,0,1,0,0,0,0,1,1,1
Colorow Mountain Park,1.6,170,1,3.3,hike659,1,0,0,0,1,0,0,0,0,1,1,1
Caribou Ranch Open Space,12.2,3000,3,4.5,hike660,0,1,0,0,0,0,0,0,0,0,0,0
"Monument, Colorado",5.2,1224,2,2.9,hike661,0,1,0,1,1,1,0,0,0,1,1,1
Pike National Forest,19.4,1800,2,4.0,hike662,0,1,0,1,0,1,0,1,0,0,1,0
Roosevelt National Forest,8.4,3277,2,4.6,hike663,0,1,0,0,0,0,0,0,0,1,1,1
San Isabel National Forest,6.8,2900,2,4.4,hike664,0,0,1,1,0,0,0,1,0,0,0,1
"Nathrop, Colorado",7.2,1533,2,4.8,hike665,0,1,0,0,0,0,0,0,0,0,0,0
White River National Forest,7.1,2055,2,4.7,hike666,0,1,0,0,0,0,0,1,1,1,1,1
Centennial Park,42.5,3025,1,4.5,hike667,0,0,1,1,1,0,0,1,0,1,0,1
Arapaho National Forest,12.0,3549,3,5.0,hike668,1,0,0,1,0,0,0,0,0,1,1,1
Roosevelt National Forest,2.1,1015,2,4.4,hike669,0,1,0,1,0,0,0,0,0,0,0,1
Uncompahgre National Forest,0.2,49,1,4.0,hike670,0,1,0,0,1,0,0,0,0,1,1,1
Rocky Mountain National Park,8.5,1426,2,4.4,hike671,0,1,0,0,0,0,0,0,1,1,1,1
Pike National Forest,2.4,114,1,4.1,hike672,1,0,0,0,1,0,0,0,1,1,0,1
Pike National Forest,3.2,2172,2,3.3,hike673,0,1,0,1,0,1,0,0,1,0,0,1
Bald Mountain Scenic Area,1.9,441,1,3.6,hike674,1,0,0,1,1,0,0,0,0,1,1,1
"Longmont, Colorado",9.5,1550,2,3.9,hike675,1,0,0,0,0,0,0,0,0,0,0,0
Lair o' the Bear Park,2.0,160,1,4.2,hike676,0,1,0,1,1,0,0,1,0,0,0,0
Eagles Nest Wilderness,7.4,2012,2,4.3,hike677,0,1,0,1,1,0,0,0,1,1,0,1
South Valley Park,2.6,376,1,3.8,hike678,0,1,0,0,1,0,0,0,0,0,1,0
Pike National Forest,3.1,1133,3,3.4,hike679,1,0,0,0,0,0,1,1,1,1,1,1
Roosevelt National Forest,18.4,1590,1,3.8,hike680,1,0,0,0,0,0,0,0,0,1,1,1
Horsetooth State Park,8.8,1842,1,3.8,hike681,0,1,0,1,1,0,1,0,0,1,1,1
Rocky Mountain National Park,0.2,32,1,4.2,hike682,0,1,0,0,1,0,0,0,0,1,1,1
White River National Forest,5.3,961,3,3.6,hike683,0,1,0,0,0,0,0,0,0,0,0,0
White River National Forest,4.6,1491,2,3.6,hike684,0,1,0,0,1,0,0,0,0,1,1,1
Rocky Mountain National Park,0.8,743,2,4.5,hike685,1,0,0,0,1,0,0,0,0,0,0,1
Legion Park,1.4,11,1,3.6,hike686,1,0,0,1,1,0,0,0,0,0,1,1
San Isabel National Forest,6.3,738,1,4.4,hike687,0,1,0,1,1,0,0,0,0,1,1,1
Grand Mesa National Forest,2.8,475,1,4.0,hike688,1,0,0,1,1,0,0,1,1,1,1,0
"Louisville, Colorado",3.3,77,1,3.7,hike689,1,0,0,1,1,0,0,0,0,0,0,0
Pike National Forest,8.3,3134,2,5.0,hike690,0,1,0,1,0,0,0,0,1,1,0,1
Colorado National Monument,21.6,4738,2,4.0,hike691,0,0,1,1,1,1,0,1,0,1,0,1
Pike National Forest,5.6,426,1,3.7,hike692,1,0,0,1,1,0,0,0,0,0,0,1
Roosevelt National Forest,3.4,851,2,4.7,hike693,1,0,0,0,0,0,0,0,0,1,1,1
Arapaho National Forest,15.7,2724,1,4.2,hike694,0,1,0,0,0,0,0,1,0,1,0,1
Roosevelt National Forest,12.3,2799,2,5.0,hike695,0,1,0,0,0,0,0,0,1,0,0,0
San Juan National Forest,27.1,3110,1,4.2,hike696,0,0,1,0,0,1,0,1,0,1,1,1
White River National Forest,7.9,1452,1,4.2,hike697,0,1,0,0,1,0,0,0,0,0,0,0
Arapaho National Forest,15.4,2685,2,4.1,hike698,0,1,0,0,0,0,0,0,0,0,0,1
Rocky Mountain National Park,12.8,2229,2,4.8,hike699,0,1,0,0,0,0,0,1,1,1,0,1
Pike National Forest,0.3,31,1,3.0,hike700,0,1,0,1,1,0,0,1,0,1,0,1
Arapaho National Forest,4.8,1835,1,2.9,hike701,0,0,1,0,1,0,0,0,0,1,0,1
Lost Creek Wilderness,7.1,1273,3,4.4,hike702,0,1,0,0,0,1,0,1,0,1,1,0
Pike National Forest,12.0,1320,2,4.4,hike703,0,1,0,0,0,0,0,1,0,1,1,1
San Isabel National Forest,7.9,2713,2,4.8,hike704,0,1,0,0,0,0,0,0,0,0,1,1
Reynolds Ranch County Park,3.0,400,1,4.3,hike705,1,0,0,0,1,0,0,0,0,0,0,0
Pike National Forest,29.3,3456,2,4.3,hike706,0,0,1,0,0,0,0,0,0,1,0,1
Garden of the Gods,2.0,237,1,4.0,hike707,1,0,0,0,1,0,0,0,0,0,0,1
Black Canyon of the Gunnison National Park,0.5,369,1,4.5,hike708,1,0,0,0,1,1,0,0,0,1,1,1
Comanche National Grassland,16.8,1020,2,4.8,hike709,0,1,0,1,1,1,0,1,0,1,0,1
Roosevelt National Forest,6.9,1705,2,3.4,hike710,0,1,0,1,0,0,0,1,0,1,1,1
"Manitou Springs, Colorado",10.0,7553,3,3.0,hike711,0,0,1,0,0,0,0,0,0,1,0,1
Deer Creek Canyon Park,6.9,1509,1,4.2,hike712,0,1,0,1,1,0,0,0,0,1,1,1
Pike National Forest,3.5,602,2,4.3,hike713,0,1,0,0,0,0,0,0,0,1,0,1
"Boulder, Colorado",6.1,1864,3,2.5,hike714,1,0,0,1,0,0,0,0,0,1,1,1
"Broomfield, Colorado",1.5,27,1,4.0,hike715,1,0,0,0,1,0,0,0,1,1,1,1
Rio Grande National Forest,4.0,300,2,4.3,hike716,0,1,0,0,1,0,0,0,0,0,0,0
"Englewood, Colorado",16.5,488,2,3.5,hike717,0,1,0,1,0,0,0,0,1,0,0,0
Roosevelt National Forest,6.4,1226,2,3.0,hike718,0,1,0,1,0,0,0,0,0,0,0,0
San Juan National Forest,9.9,1874,2,3.8,hike719,0,0,1,1,0,0,0,0,0,1,1,1
Arapaho National Forest,5.2,2387,2,4.0,hike720,0,1,0,0,0,0,0,0,0,0,0,0
Meyer Ranch Park,2.4,617,1,3.7,hike721,1,0,0,0,1,0,0,0,0,1,0,1
Arapaho National Forest,15.7,4235,2,4.5,hike722,0,1,0,1,0,1,0,1,0,0,0,1
Two Rivers Park,15.9,1132,2,4.7,hike723,0,0,1,1,0,0,0,1,0,0,0,1
Van Bibber Open Space Park,5.4,205,1,3.8,hike724,1,0,0,1,1,0,0,0,0,1,1,1
Uncompahgre National Forest,6.9,3872,2,4.7,hike725,0,0,1,1,1,0,0,0,0,1,0,1
San Juan National Forest,10.0,2520,3,5.0,hike726,0,1,0,0,0,0,0,0,1,0,0,0
Pawnee National Grassland,4.7,412,1,4.4,hike727,0,1,0,1,1,0,0,0,0,1,1,1
White River National Forest,6.7,1742,3,3.8,hike728,0,1,0,1,0,0,0,0,0,1,0,1
Eagles Nest Wilderness,7.8,3235,3,4.9,hike729,0,1,0,1,0,0,0,0,1,1,0,0
Meyer Ranch Park,1.5,224,1,4.2,hike730,1,0,0,0,1,0,0,0,0,0,0,0
"Littleton, Colorado",4.9,463,1,3.1,hike731,1,0,0,1,1,0,0,0,0,0,1,0
Gunnison National Forest,7.7,1171,3,4.8,hike732,1,0,0,0,0,0,0,0,0,0,0,0
Curecanti National Recreation Area,3.7,560,1,3.9,hike733,0,1,0,1,1,0,0,0,0,1,0,1
Neota Wilderness,29.8,1664,1,5.0,hike734,0,1,0,1,0,0,0,1,1,1,1,1
Bear Creek Canyon Park,4.8,240,1,3.0,hike735,1,0,0,1,1,0,0,0,1,1,1,1
Leon Wurl Wildlife Sanctuary,0.9,9,1,3.6,hike736,1,0,0,0,1,0,0,0,0,0,0,0
Roxborough State Park,1.5,232,1,4.2,hike737,1,0,0,0,1,0,0,0,0,1,1,1
White River National Forest,20.9,4572,3,4.6,hike738,0,1,0,1,0,0,0,0,0,1,0,1
White River National Forest,5.6,1172,1,5.0,hike739,0,1,0,1,1,0,0,0,0,1,0,1
"Nathrop, Colorado",6.2,987,2,4.3,hike740,0,1,0,1,1,1,0,0,0,1,1,1
James M Robb Colorado River State Park,7.0,1999,2,5.0,hike741,0,1,0,1,0,0,0,0,0,1,1,1
Rocky Mountain National Park,14.9,2903,3,4.2,hike742,0,1,0,0,0,1,1,1,1,1,1,1
Lizard Head Wilderness,4.7,1403,1,4.8,hike743,0,1,0,1,1,0,1,1,1,1,1,1
Rocky Mountain National Park,15.7,4953,2,4.6,hike744,0,1,0,0,0,0,0,0,0,1,1,1
"Canon City, Colorado",7.6,600,2,4.6,hike745,1,0,0,0,0,0,0,0,0,0,0,1
San Juan National Forest,4.8,886,2,3.4,hike746,1,0,0,1,1,1,0,0,1,1,1,1
Roosevelt National Forest,2.6,519,2,4.7,hike747,0,1,0,0,1,0,0,0,0,1,1,1
Gunnison National Forest,10.4,4475,3,4.2,hike748,0,1,0,0,0,1,0,0,0,0,0,0
"Florissant, Colorado",26.3,2163,1,3.9,hike749,0,0,1,1,1,0,0,1,0,0,0,1
White River National Forest,12.1,3526,2,5.0,hike750,0,1,0,0,0,0,0,0,0,1,1,1
Roosevelt National Forest,7.4,2306,3,4.3,hike751,0,1,0,1,0,0,0,0,0,1,0,1
San Isabel National Forest,19.8,3365,3,4.0,hike752,0,1,0,0,0,1,0,0,0,0,0,0
Arapaho National Forest,2.6,476,1,4.2,hike753,1,0,0,0,1,0,0,0,1,0,0,1
Roosevelt National Forest,2.7,533,1,4.6,hike754,1,0,0,0,1,0,0,0,1,1,1,1
Pike National Forest,4.9,1229,3,4.0,hike755,1,0,0,1,0,0,0,1,0,1,1,1
Roosevelt National Forest,0.7,159,1,4.1,hike756,0,1,0,1,1,1,0,0,1,1,1,1
White River National Forest,12.9,4613,3,4.3,hike757,0,1,0,0,0,1,0,0,1,1,0,1
Roosevelt National Forest,10.4,2121,2,3.8,hike758,0,1,0,1,0,1,0,0,0,1,0,1
Chatfield State Park,12.0,200,1,3.3,hike759,0,1,0,1,0,0,0,0,0,0,0,0
Mount Falcon Park,2.5,429,2,4.0,hike760,1,0,0,1,1,0,0,0,0,1,1,1
Mueller State Park,2.6,577,1,3.7,hike761,1,0,0,0,1,0,0,0,1,1,1,1
Pinery Park,1.1,69,1,4.2,hike762,1,0,0,1,1,0,0,0,1,1,0,1
White River National Forest,3.5,1145,2,3.2,hike763,0,0,1,0,0,0,0,0,0,0,0,0
Bluffs Regional Park,2.6,381,1,3.2,hike764,1,0,0,1,1,0,0,0,0,1,0,1
Routt National Forest,3.8,584,2,5.0,hike765,0,1,0,1,0,0,0,0,1,1,1,1
Eagles Nest Wilderness,9.9,2618,2,4.5,hike766,0,1,0,1,0,1,0,1,1,1,1,1
Meyer Ranch Park,1.9,321,1,3.6,hike767,1,0,0,0,1,0,0,0,0,0,0,0
San Isabel National Forest,6.5,2832,2,3.9,hike768,0,1,0,1,1,0,0,0,0,1,1,1
"Golden, Colorado",1.2,55,1,3.3,hike769,1,0,0,1,1,0,0,1,0,1,0,1
Rocky Mountain National Park,13.7,3010,3,4.3,hike770,1,0,0,0,0,1,1,1,1,1,1,1
Reynolds Ranch County Park,31.4,5618,2,4.0,hike771,0,1,0,1,0,0,0,1,0,1,1,1
Roosevelt National Forest,6.5,1560,2,4.5,hike772,0,1,0,0,0,1,0,0,0,1,1,1
Green Mountain Park,20.9,3567,2,3.8,hike773,1,0,0,1,1,0,0,0,0,1,1,1
Ouray Ke Park,15.8,4780,2,4.2,hike774,0,1,0,1,0,0,0,0,1,1,0,1
Mc Phelemy Park,40.4,7822,2,4.9,hike775,0,1,0,0,0,0,0,0,0,1,0,1
Arapaho National Forest,10.8,3072,2,4.5,hike776,0,1,0,0,0,1,0,0,0,0,0,0
Rawah Wilderness,5.2,1672,2,4.6,hike777,0,0,1,0,0,0,0,0,0,0,0,0
San Juan National Forest,16.6,5643,3,4.7,hike778,0,1,0,1,0,0,0,0,1,1,1,1
Black Canyon of the Gunnison National Park,0.3,25,1,4.2,hike779,0,1,0,0,1,0,0,0,0,1,1,1
Roosevelt National Forest,4.4,420,1,4.0,hike780,1,0,0,0,1,0,0,0,0,0,0,0
Pike National Forest,7.0,500,2,3.8,hike781,0,1,0,0,0,0,0,0,0,0,0,0
Black Canyon of the Gunnison National Park,1.3,417,2,3.6,hike782,1,0,0,0,1,0,0,0,0,1,1,1
Roosevelt National Forest,14.4,3143,3,4.0,hike783,0,1,0,1,0,0,0,1,1,1,1,1
White River National Forest,1.0,232,1,4.0,hike784,0,1,0,1,1,1,0,1,1,1,1,1
Echo Lake Park,3.0,600,1,5.0,hike785,0,1,0,0,1,0,0,0,0,0,0,0
Roosevelt National Forest,40.1,6995,2,4.0,hike786,0,0,1,0,0,0,0,0,0,1,1,1
San Juan National Forest,21.0,8220,3,5.0,hike787,0,1,0,1,0,1,1,1,1,1,1,1
Rocky Mountain National Park,8.4,3297,2,4.8,hike788,0,1,0,0,0,0,0,0,0,1,0,1
San Isabel National Forest,7.4,2115,2,4.7,hike789,0,1,0,0,0,0,0,0,0,0,0,1
Roosevelt National Forest,2.7,218,1,4.1,hike790,1,0,0,1,1,0,0,0,1,1,1,1
Boulder Mountain Park,1.2,211,2,4.8,hike791,1,0,0,1,1,0,0,0,0,1,1,1
"Conifer, Colorado",11.7,1838,3,3.3,hike792,0,1,0,0,0,0,0,0,0,1,0,1
Arapaho National Forest,6.2,1788,2,4.7,hike793,0,1,0,0,0,0,0,0,0,1,1,1
Arapaho National Forest,1.7,192,1,3.2,hike794,1,0,0,1,1,0,0,0,0,0,0,0
Colorado National Monument,0.7,154,1,4.0,hike795,0,1,0,0,1,0,0,0,0,0,1,1
Holy Cross Wilderness,9.0,2502,2,5.0,hike796,0,1,0,1,0,0,1,1,1,1,1,1
White River National Forest,12.8,3333,3,4.5,hike797,0,1,0,0,0,0,0,0,1,0,0,1
Lake Pueblo State Park,2.7,313,3,4.0,hike798,1,0,0,0,0,0,0,0,1,1,0,1
Great Sand Dunes National Preserve,3.8,2000,3,5.0,hike799,0,1,0,0,0,1,1,1,1,1,1,1
"Loma, Colorado",10.7,1405,2,4.0,hike800,1,0,0,0,0,0,0,0,0,0,0,1
Monument Valley Park,1.2,33,1,3.5,hike801,1,0,0,1,1,0,0,0,0,1,1,1
Pike National Forest,12.3,2043,2,4.0,hike802,0,1,0,0,0,1,0,0,0,1,1,0
San Isabel National Forest,3.6,1223,2,3.8,hike803,0,1,0,0,0,0,0,0,0,0,0,1
Rocky Mountain National Park,13.6,4998,3,2.5,hike804,0,1,0,0,0,0,0,0,0,1,1,1
Gunbarrel Ranch,2.7,856,1,3.7,hike805,1,0,0,0,1,0,0,0,0,1,1,1
Mesa Verde National Park,2.0,531,2,4.3,hike806,0,1,0,0,1,0,0,0,0,1,1,1
Boulder Reservoir Park,5.3,231,1,3.2,hike807,1,0,0,1,1,0,0,0,1,1,0,1
Routt National Forest,6.1,1752,2,4.7,hike808,1,0,0,0,1,0,0,0,0,0,0,1
Perry Park,5.1,690,1,3.4,hike809,1,0,0,0,1,0,0,0,0,0,0,0
Pike National Forest,5.4,963,2,2.5,hike810,1,0,0,0,1,0,0,0,0,1,0,1
Arapaho National Forest,5.8,354,2,3.5,hike811,0,1,0,1,0,1,0,1,0,0,0,0
